irn,vendor_gstin,invoice_date,taxable_value
INV-0B4826F0,FDOQ3K4PCC9R6LZ,2026-01-26,60359.0
INV-A410D23F,WEF0XNX2YHDK3AO,2026-02-22,14930.31
INV-0B4826F0,YOGUSIVB7884F3D,2026-03-29,74714.73
INV-E139EF4B,YT1O4VCI3LVX08E,2026-01-17,7108.12
INV-6713DD07,9S4O8TOL0P0ENM9,2026-01-10,58238.81
INV-3050732F,DBC4JOSP5GVIJ1D,2026-01-07,22761.98
INV-C34022AC,LTT9D21OLQDA5DW,2026-02-18,99011.24
INV-4E3E25CB,UJ2EZ780THBS1U3,2026-01-22,54755.72
INV-127E33AF,TGL9LKUAPKKV9G7,2026-01-20,6430.32
INV-CB45F5D8,2RY73CYINGNY2RS,2026-02-03,52697.21
INV-13D5245B,4FYGLDIQ1NYRQ69,2026-02-12,91949.17
INV-4D44C22B,BHJZUW40_5_KCLY,2026-02-13,95712.48
INV-E9AB7269,0KJ3KNVS3I4D6BP,2026-02-17,89571.68
INV-3B91A9B3,XBOHDF5AJWKHN9A,2026-03-21,27762.77
INV-71895917,4JYCS2OI8QBPHLP,2026-02-21,37917.68
INV-C69EA824,BSRGYAILFLM5Y9D,2026-01-24,15199.23
INV-8906995D,67KVBZYEQAUH8MN,2026-04-03,22767.4
INV-252EFFE0,Q7QVNCRYM2EE72A,2026-04-06,95896.38
INV-CF0BE46B,F92KWO29IF8UCP7,2026-04-11,15281.71
INV-EE7C32CC,3PZVX4URRPPC1YF,2026-02-24,3870.83
INV-7E68F438,6337UIXA50NJYYT,2026-03-06,67211.64
INV-D3767ADA,1WXUWDHDPJYBVPK,2026-01-06,93662.61
INV-FC518F43,X0FNFBT7J1PO6MF,2026-01-31,26003.33
INV-A4683E5F,PD3JMWK3SRZDZ93,2026-03-25,74349.99
INV-87A7DDC6,Q54F7095G74PW8O,2026-04-02,93366.05
INV-280D2986,6XH5BAXX8WR7SNW,2026-02-09,55125.69
INV-BB97095E,OCKOYUW2AZZURXI,2026-02-18,18844.29
INV-BB0C4EAE,X7KKZUA7EF3Z0YH,2026-04-02,64322.44
INV-D0745912,XTYU5RYSPGOVQX6,2026-03-30,56008.88
INV-CEDEBA9E,G5Y2TE4WN7PFMTS,2026-01-20,2521.98
INV-24E8ED7E,PJ3GPNWRTJC3RU0,2026-04-10,42705.08
INV-3D69C60C,3OZJL6095TEC35V,2026-03-21,94058.14
INV-C58AE028,R7G619A0K1586IT,2026-01-12,54256.13
INV-E746E163,2QIYHP5ZKIOQOHJ,2026-02-02,44564.48
INV-2C2D7F96,VXJ7AFVBVLOWI8G,2026-03-14,75624.37
INV-DF2A3D3E,L93FC12B7FFHVJP,2026-02-09,8665.64
INV-383FF2AC,R8LOKQB9BFTO53Y,2026-01-19,49906.78
INV-DC851A4C,NM2QZJX110CJ7U1,2026-03-20,88764.01
INV-253A8483,2HRXRWORUWIQCCA,2026-03-29,447.24
INV-960F5341,ZO74HPZ02WRUXZ8,2026-02-27,36905.34
INV-BB97095E,J69598UZPMYFIGC,2026-02-04,59949.14
INV-D47CE62D,USYJTSNPPI6FHMQ,2026-01-06,78117.54
INV-C3CE063B,N38LCM9VKHDPU5I,2026-01-29,85356.48
INV-7C7A8DC0,JLK8YI0SRGP7HQY,2026-02-04,94645.56
INV-235C79EF,8NJOTRCC0S5TSFF,2026-03-15,16847.21
INV-76A7FA58,5AWG21AQTKQCMSE,2026-03-06,16340.3
INV-8765B22D,GYMO8IVFS75INW1,2026-01-24,36225.47
INV-624C9849,YN8A8I89IV6ZMAK,2026-01-13,83361.56
INV-C1261DBF,H9OGKEAT36CADIS,2026-01-12,40288.41
INV-3AE8E0AC,5RI86RUCJQIZKFK,2026-01-21,59145.34
INV-E7CF34DF,9NUJ1JT2WZEKT8Q,2026-03-06,81971.36
INV-DA812809,UNE3FC2N5Z0K5QP,2026-01-15,10332.71
INV-38786B3B,JI3RCANGRMX5S4R,2026-02-23,32416.11
INV-1D8ED5C6,OC4J89SV5VTW3OA,2026-04-10,12047.2
INV-15231AA6,SAZN2XU77NW9SYH,2026-01-26,57513.82
INV-60E72C5D,MDSLEZ4ZTWMHPIG,2026-02-14,67302.54
INV-F341BE1E,81AYN7926ROKPAQ,2026-01-27,27202.49
