irn,vendor_gstin,invoice_date,taxable_value
INV-000001,07BBPFU0939F1Z2,2026-01-02,6375
INV-000002,33CCPFU0939F1Z1,2026-01-03,7750
INV-000003,29ABCDE1234F1Z5,2026-01-04,9125
INV-000004,24AAACB2894G1ZQ,2026-01-05,10500
INV-000005,19AABCU9603R1ZX,2026-01-06,11875
INV-000006,06AAECS1234B1Z7,2026-01-07,13250
INV-000007,09AAKCS4456L1ZR,2026-01-08,14625
INV-000008,32AACCT2456M1ZP,2026-01-09,16000
INV-000009,INVALID_GSTIN_A,2026-01-10,17375
INV-000010,27AAPFU0939F1Z5,2026-01-11,18750
INV-000011,07BBPFU0939F1Z2,2026-01-12,20125
INV-000012,33CCPFU0939F1Z1,2026-01-13,21500
INV-000013,29ABCDE1234F1Z5,2026-01-14,22875
INV-000014,24AAACB2894G1ZQ,2026-01-15,24250
INV-000015,19AABCU9603R1ZX,2026-01-16,25625
INV-000016,06AAECS1234B1Z7,2026-01-17,27000
INV-000017,09AAKCS4456L1ZR,2026-01-18,28375
INV-000018,32AACCT2456M1ZP,2026-01-19,29750
INV-000019,INVALID_GSTIN_A,2026-01-20,31125
INV-000020,27AAPFU0939F1Z5,2026-01-21,32500
INV-000021,07BBPFU0939F1Z2,2026-01-22,33875
INV-000022,33CCPFU0939F1Z1,2026-01-23,35250
INV-000023,29ABCDE1234F1Z5,2026-01-24,36625
INV-000024,24AAACB2894G1ZQ,2026-01-25,38000
INV-000025,19AABCU9603R1ZX,2026-01-26,39375
INV-000026,06AAECS1234B1Z7,2026-01-27,40750
INV-000027,09AAKCS4456L1ZR,2026-01-28,42125
INV-000028,32AACCT2456M1ZP,2026-01-29,43500
INV-000029,INVALID_GSTIN_A,2026-01-30,44875
INV-000030,27AAPFU0939F1Z5,2026-01-31,46250
INV-000031,07BBPFU0939F1Z2,2026-02-01,47625
INV-000032,33CCPFU0939F1Z1,2026-02-02,49000
INV-000033,29ABCDE1234F1Z5,2026-02-03,50375
INV-000034,24AAACB2894G1ZQ,2026-02-04,51750
INV-000035,19AABCU9603R1ZX,2026-02-05,53125
INV-000036,06AAECS1234B1Z7,2026-02-06,54500
INV-000037,09AAKCS4456L1ZR,2026-02-07,60000
INV-000038,32AACCT2456M1ZP,2026-02-08,57250
INV-000039,INVALID_GSTIN_A,2026-02-09,58625
INV-000040,27AAPFU0939F1Z5,2026-02-10,60000
INV-000041,07BBPFU0939F1Z2,2026-02-11,61375
INV-000042,33CCPFU0939F1Z1,2026-02-12,62750
INV-000043,29ABCDE1234F1Z5,2026-02-13,64125
INV-000044,24AAACB2894G1ZQ,2026-02-14,65500
INV-000045,19AABCU9603R1ZX,2026-02-15,66875
INV-000046,06AAECS1234B1Z7,2026-02-16,68250
INV-000047,09AAKCS4456L1ZR,2026-02-17,69625
INV-000048,32AACCT2456M1ZP,2026-02-18,71000
INV-000049,INVALID_GSTIN_A,2026-02-19,72375
INV-000050,27AAPFU0939F1Z5,2026-02-20,73750
INV-000051,07BBPFU0939F1Z2,2026-02-21,75125
INV-000052,33CCPFU0939F1Z1,2026-02-22,76500
INV-000053,29ABCDE1234F1Z5,2026-02-23,77875
INV-000054,24AAACB2894G1ZQ,2026-02-24,79250
INV-000055,19AABCU9603R1ZX,2026-02-25,80625
INV-000056,06AAECS1234B1Z7,2026-02-26,82000
INV-000057,09AAKCS4456L1ZR,2026-02-27,83375
INV-000058,32AACCT2456M1ZP,2026-02-28,84750
INV-000059,INVALID_GSTIN_A,2026-03-01,86125
INV-000060,27AAPFU0939F1Z5,2026-03-02,87500
INV-000061,07BBPFU0939F1Z2,2026-03-03,88875
INV-000062,33CCPFU0939F1Z1,2026-03-04,90250
INV-000063,29ABCDE1234F1Z5,2026-03-05,91625
INV-000064,24AAACB2894G1ZQ,2026-03-06,93000
INV-000065,19AABCU9603R1ZX,2026-03-07,94375
INV-000066,06AAECS1234B1Z7,2026-03-08,95750
INV-000067,09AAKCS4456L1ZR,2026-03-09,97125
INV-000068,32AACCT2456M1ZP,2026-03-10,98500
INV-000069,INVALID_GSTIN_A,2026-03-11,99875
INV-000070,27AAPFU0939F1Z5,2026-03-12,101250
INV-000071,07BBPFU0939F1Z2,2026-03-13,102625
INV-000072,33CCPFU0939F1Z1,2026-03-14,104000
INV-000073,29ABCDE1234F1Z5,2026-03-15,105375
INV-000074,24AAACB2894G1ZQ,2026-03-16,110000
INV-000075,19AABCU9603R1ZX,2026-03-17,108125
INV-000076,06AAECS1234B1Z7,2026-03-18,109500
INV-000077,09AAKCS4456L1ZR,2026-03-19,110875
INV-000078,32AACCT2456M1ZP,2026-03-20,112250
INV-000079,INVALID_GSTIN_A,2026-03-21,113625
INV-000080,27AAPFU0939F1Z5,2026-03-22,115000
INV-000081,07BBPFU0939F1Z2,2026-03-23,116375
INV-000082,33CCPFU0939F1Z1,2026-03-24,117750
INV-000083,29ABCDE1234F1Z5,2026-03-25,119125
INV-000084,24AAACB2894G1ZQ,2026-03-26,120500
INV-000085,19AABCU9603R1ZX,2026-03-27,121875
INV-000086,06AAECS1234B1Z7,2026-03-28,123250
INV-000087,09AAKCS4456L1ZR,2026-03-29,124625
INV-000088,32AACCT2456M1ZP,2026-03-30,126000
INV-000089,INVALID_GSTIN_A,2026-03-31,127375
INV-000090,27AAPFU0939F1Z5,2026-04-01,128750
INV-000091,07BBPFU0939F1Z2,2026-04-02,130125
INV-000092,33CCPFU0939F1Z1,2026-04-03,131500
INV-000093,29ABCDE1234F1Z5,2026-04-04,132875
INV-000094,24AAACB2894G1ZQ,2026-04-05,134250
INV-000095,19AABCU9603R1ZX,2026-04-06,135625
INV-000096,06AAECS1234B1Z7,2026-04-07,137000
INV-000097,09AAKCS4456L1ZR,2026-04-08,138375
INV-000098,32AACCT2456M1ZP,2026-04-09,139750
INV-000099,INVALID_GSTIN_A,2026-04-10,141125
INV-000100,27AAPFU0939F1Z5,2026-04-11,142500
INV-000101,07BBPFU0939F1Z2,2026-04-12,143875
INV-000102,33CCPFU0939F1Z1,2026-04-13,145250
INV-000103,29ABCDE1234F1Z5,2026-04-14,146625
INV-000104,24AAACB2894G1ZQ,2026-04-15,148000
INV-000105,19AABCU9603R1ZX,2026-04-16,149375
INV-000106,06AAECS1234B1Z7,2026-04-17,150750
INV-000107,09AAKCS4456L1ZR,2026-04-18,152125
INV-000108,32AACCT2456M1ZP,2026-04-19,153500
INV-000109,INVALID_GSTIN_A,2026-04-20,154875
INV-000110,27AAPFU0939F1Z5,2026-04-21,156250
INV-000111,07BBPFU0939F1Z2,2026-04-22,160000
INV-000112,33CCPFU0939F1Z1,2026-04-23,159000
INV-000113,29ABCDE1234F1Z5,2026-04-24,160375
INV-000114,24AAACB2894G1ZQ,2026-04-25,161750
INV-000115,19AABCU9603R1ZX,2026-04-26,163125
INV-000116,06AAECS1234B1Z7,2026-04-27,164500
INV-000117,09AAKCS4456L1ZR,2026-04-28,165875
INV-000118,32AACCT2456M1ZP,2026-04-29,167250
INV-000119,INVALID_GSTIN_A,2026-04-30,168625
INV-000120,27AAPFU0939F1Z5,2026-01-01,170000
INV-000121,07BBPFU0939F1Z2,2026-01-02,171375
